office_id,electricity(kWh),water(gallons)
1,8844,10898
2,13923,17903
3,11813,13013
4,13456,18017
5,6085,11033
6,12478,14703
7,13508,18403
8,8019,17053
9,12408,17026
10,6030,17144
11,11142,19941
12,9656,13317
13,6656,8957
14,6554,15260
15,8343,8246
16,5105,13132
17,9738,18524
18,13770,12682
19,6025,11854
20,10451,18764
21,8072,9753
22,12289,13444
23,7802,8192
24,8594,9078
25,11312,19198
26,13650,12795
27,5557,18710
28,7681,16554
29,9418,10066
30,9464,10607
31,9599,9542
32,5090,10682
33,7872,18078
34,6518,10235
35,9337,8872
36,12033,8516
37,11876,19738
38,5855,13717
39,12791,16808
40,5747,15625
41,11314,15385
42,10020,15293
43,13779,10963
44,13458,14516
45,10751,17650
46,8796,9494
47,7641,18732
48,5435,14570
49,5354,9239
50,12786,11606
51,13026,16209
52,10694,8009
53,5613,9593
54,5736,14687
55,5548,10614
56,8142,8760
57,10639,19803
58,7097,13132
59,13771,17952
60,7047,19315
61,11395,10819
62,7877,15043
63,9550,10800
64,9558,13619
65,11581,12969
66,6272,8965
67,9793,13770
68,10337,14227
69,7450,13446
70,9204,13200
71,5667,15394
72,8694,10004
73,9129,15982
74,7204,13271
75,8306,15725
76,13867,12038
77,9119,14153
78,5841,15305
79,5326,17062
80,8259,8971
81,9330,13412
82,9722,18789
83,7083,18407
84,6513,12709
85,5085,9691
86,6466,18006
87,13637,12562
88,11110,10691
89,11423,16425
90,13642,17596
91,7320,18356
92,5678,16457
93,8748,10410
94,12143,15875
95,8039,10829
96,5249,16288
97,12488,14058
98,8791,9064
99,10712,19930
100,7042,12496
101,12627,14310
102,13205,10693
103,8074,9200
104,5239,12936
105,13112,9656
106,9304,11526
107,13430,8151
108,12768,9775
109,8106,13309
110,8174,13724
111,5320,9408
112,9598,19733
113,9886,14653
114,8175,18340
115,8212,19884
116,12757,14664
117,12820,15356
118,7389,16237
119,9877,10986
120,8454,18021
121,7067,11909
122,12129,14977
123,5873,15967
124,13412,8225
125,11017,13330
126,13924,19759
127,10303,8370
128,6734,19783
129,10495,13564
130,7155,12647
131,11821,15123
132,6849,14585
133,6706,14451
134,6596,17575
135,6618,13638
136,12579,16877
137,14137,11164
138,10851,18859
139,10221,8904
140,10037,10519
141,13490,15333
142,6786,8380
143,10504,8117
144,5386,12416
145,5868,16059
146,7031,19449
147,7781,8608
148,5343,10740
149,14072,18912
150,7006,15653
151,10409,8343
152,6058,15057
153,12045,17215
154,13545,19079
155,12987,15482
156,10717,16232
157,10564,15346
158,7232,8953
159,6107,15995
160,6084,10495
161,10843,13599
162,11458,19419
163,7322,9201
164,8632,9294
165,9870,13347
166,10490,17513
167,9840,18011
168,8660,10828
169,10358,9011
170,9297,11926
171,9500,16090
172,9674,17303
173,7736,11466
174,9437,8871
175,6206,8336
176,5304,13360
177,6292,19888
178,5332,9570
179,6612,13091
180,5499,8288
181,9394,11583
182,11379,10490
183,5856,9908
184,9824,16396
185,7535,9503
186,10709,16942
187,13119,19452
188,6144,8640
189,14144,17770
190,7368,16041
191,8583,9628
192,9461,15088
193,8438,17170
194,9545,11776
195,13505,8552
196,9650,12999
197,6995,11269
198,11988,13497
199,12801,8006
200,8115,14990
201,9457,19791
202,10397,10085
203,10405,9507
204,8639,11866
205,13626,17247
206,13424,9856
207,8443,12409
208,7035,16498
209,9826,19650
210,12362,13876
211,13245,9485
212,9257,18128
213,9361,10358
214,10901,18454
215,6633,17526
216,12129,16525
217,12222,14566
218,13345,10005
219,12080,18076
220,13073,11494
221,7094,19993
222,8225,19043
223,11719,8915
224,5271,9051
225,11915,17564
226,5367,15542
227,8601,10332
228,12855,10169
229,9077,9540
230,9730,14120
231,11162,12194
232,9525,11639
233,8888,17467
234,5322,10146
235,9255,11188
236,9634,13699
237,11492,19920
238,9628,10714
239,7550,14681
240,11016,10147
241,13229,14445
242,5085,11942
243,7051,10890
244,7825,19780
245,11052,14929
246,14064,8926
247,9957,15190
248,11876,12745
249,13146,18024
250,11914,14666
251,11721,13648
252,8376,15836
253,5361,17444
254,11580,16825
255,6648,14345
256,9561,17885
257,13835,10059
258,12277,17726
259,9954,15907
260,8862,11149
261,12621,17474
262,13940,14101
263,13498,13728
264,11168,14496
265,10925,14060
266,8413,17032
267,9500,12007
268,10487,12480
269,6506,9519
270,13526,10489
271,8514,12414
272,5668,19155
273,11829,18685
274,5327,8173
275,13180,11146
276,10878,17754
277,10055,9541
278,12423,19674
279,12962,16588
280,10078,19436
281,9637,11252
282,8920,18070
283,6994,8337
284,10881,11821
285,7115,15212
286,11139,8996
287,5501,14923
288,10975,11808
289,6386,18026
290,13872,14409
291,6631,10511
292,10091,10943
293,10252,9686
294,11969,15855
295,8490,9602
296,6615,18693
297,6302,19950
298,7910,15142
299,11200,16471
300,5344,12086
301,9852,14189
302,9518,19258
303,5385,10211
304,10340,9379
305,5280,11226
306,6663,13125
307,11509,18934
308,5756,13246
309,5226,16555
310,12797,14121
311,10329,15205
312,8618,15459
313,11721,17227
314,7666,9190
315,6688,16120
316,8731,12076
317,10298,17109
318,10269,12883
319,7143,10943
320,9154,14459
321,6072,16315
322,8135,11737
323,6521,8507
324,10042,15565
325,10114,9216
326,14096,18647
327,12491,8867
328,5966,15996
329,11216,12863
330,11920,19544
331,11075,17495
332,12099,19559
333,10534,8772
334,11067,17835
335,7257,14969
336,5019,16035
337,12238,14812
338,9575,15316
339,9793,12859
340,10026,13460
341,11212,16602
342,5568,10384
343,11910,17505
344,5637,14297
345,11561,17594
346,8443,18205
347,11119,17040
348,12940,13221
349,8719,18687
350,10540,18630
351,7212,10983
352,10026,12683
353,11349,13600
354,7230,16527
355,9349,8930
356,14059,12952
357,5232,14274
358,7757,9292
359,8586,12004
360,12919,19186
361,8637,13106
362,10176,9119
363,5957,14197
364,8193,18993
365,11245,11246
366,7058,11576
367,12637,10453
368,10375,15196
369,8387,12253
370,5434,12374
371,10159,14524
372,7255,16439
373,5505,15569
374,12127,18517
375,9741,10784
376,10771,10580
377,5061,8694
378,8243,17603
379,11339,11128
380,6658,14918
381,8033,12519
382,13819,10821
383,7422,16402
384,12851,8029
385,10475,9981
386,10822,18586
387,7227,14770
388,9797,15153
389,7516,11867
390,12029,18014
391,10060,13888
392,5629,14687
393,6260,9870
394,6590,10833
395,13135,10239
396,9599,18822
397,10596,19568
398,6857,15547
399,8890,14436
400,8338,8144
401,14086,16111
402,9357,19572
403,12438,14788
404,13867,10944
405,8528,19472
406,8220,14164
407,6149,19233
408,10024,15295
409,8811,13106
410,12107,15615
411,12924,14557
412,9110,19663
413,8774,15473
414,13076,18122
415,10699,11985
416,11905,11220
417,6898,10459
418,6748,9523
419,8427,10823
420,9257,18084
421,6127,13915
422,5651,15294
423,10644,13751
424,12781,19595
425,8437,16991
426,5328,16121
427,9322,9397
428,12487,18643
429,13848,16572
430,7461,8213
431,13291,12314
432,10248,14677
433,8643,9660
434,13679,14666
435,7823,14025
436,6532,17733
437,9739,18994
438,9998,14127
439,8925,18836
440,13750,8865
441,5181,11626
442,7155,16503
443,5204,13883
444,10700,11861
445,11845,9986
446,6489,11767
447,5713,12259
448,5343,12543
449,9591,10565
450,10234,17487
451,5961,19717
452,10258,9245
453,14165,17512
454,11061,18317
455,9181,9529
456,12218,11142
457,5899,15295
458,10867,18648
459,12551,13027
460,12326,17739
461,8863,9220
462,11821,12801
463,7457,8483
464,11718,17538
465,8673,16485
466,6553,8088
467,8101,16690
468,6391,10212
469,9020,13597
470,13337,14522
471,7669,15127
472,13211,15211
473,12871,18895
474,12015,15962
475,14145,8135
476,11276,17506
477,11995,17368
478,6552,16213
479,9851,13391
480,9573,15407
481,7881,9418
482,9600,14580
483,12716,11423
484,5546,12247
485,10959,10942
486,10061,11384
487,5237,11439
488,13411,17262
489,9729,10242
490,11944,17580
491,13560,10126
492,7151,17580
493,12514,16704
494,7156,18512
495,8270,18169
496,7165,12220
497,8921,11465
498,7025,14443
499,5769,14225
500,5425,10393
501,5143,8070
502,8978,8492
503,5007,12644
504,12686,17792
505,7044,10376
506,13657,13974
507,11562,11421
508,6399,12484
509,10843,14631
510,7547,17597
511,7477,16548
512,6630,9802
513,8821,19971
514,10763,15877
515,6652,12055
516,13811,19782
517,6894,9746
518,6233,17489
519,7705,13298
520,11608,13960
521,11793,14069
522,9768,15820
523,8560,14514
524,10536,11222
525,6703,9199
526,12770,10205
527,6117,8469
528,7753,17286
529,10770,10653
530,11509,9801
531,13715,9674
532,12639,13043
533,11707,19273
534,7835,19592
535,12596,17027
536,10614,8841
537,10261,19242
538,5514,18471
539,11431,17378
540,7218,19685
541,13540,12951
542,10294,11080
543,5076,17948
544,5307,19943
545,13727,9217
546,9258,15671
547,10240,10337
548,11161,10393
549,11385,15834
550,6873,16613
551,7563,17759
552,12512,15798
553,12500,15531
554,9591,13005
555,13767,13938
556,9362,10051
557,11122,18872
558,12285,14313
559,11703,18707
560,13536,9327
561,10066,17615
562,8987,8175
563,8430,15024
564,12593,18849
565,12867,10556
566,6594,12198
567,12193,11400
568,7587,8583
569,11819,16848
570,9096,14656
571,10788,9727
572,14054,18291
573,7455,9420
574,7043,13379
575,6221,9763
576,13581,17589
577,10602,10949
578,12538,9794
579,5237,16559
580,7083,9658
581,10758,13207
582,7867,9871
583,5962,10743
584,9929,16308
585,12244,13984
586,9924,14735
587,11926,11533
588,6136,16108
589,9623,8578
590,12353,19080
591,9372,18254
592,13027,16486
593,9973,16383
594,12356,13158
595,11113,13528
596,5735,11917
597,13758,8239
598,5309,16878
599,12698,17858
600,9443,18273
601,7385,18835
602,11756,12562
603,8282,14356
604,8662,10215
605,12285,14079
606,5582,12458
607,5691,14196
608,12764,8537
609,8779,18730
610,10391,8389
611,8031,13440
612,7284,13932
613,9279,19136
614,9874,15568
615,6030,14777
616,12172,19721
617,13318,15254
618,13410,12395
619,9977,8349
620,9162,16614
621,11314,15323
622,5734,8971
623,5532,19840
624,6994,8384
625,10202,15667
626,6177,12269
627,6799,9174
628,11139,8977
629,8054,15341
630,6437,9444
631,10352,8650
632,14124,13401
633,13405,14338
634,10375,18258
635,9601,17216
636,5773,16689
637,14062,9637
638,6050,13513
639,5131,13965
640,10352,16893
641,6568,15782
642,10503,16925
643,13189,11969
644,11723,12780
645,13255,10879
646,8755,17877
647,13582,19043
648,9175,12157
649,5299,11741
650,12328,12434
651,7376,8174
652,7558,8577
653,8061,17250
654,12624,11902
655,7995,10182
656,14026,12544
657,8326,11017
658,7580,17911
659,11901,13294
660,5527,8078
661,13265,18789
662,8197,12466
663,8975,11134
664,14165,16442
665,12130,16457
666,12394,16541
667,11823,14233
668,10024,16241
669,14114,12925
670,6338,9139
671,5568,13391
672,9559,8924
673,13655,15243
674,10206,10069
675,6600,16634
676,12665,19553
677,13093,15143
678,5768,17733
679,6893,13657
680,10327,15646
681,13803,13915
682,8738,11364
683,10800,14892
684,8920,10724
685,13246,19553
686,13958,18356
687,10784,9091
688,11574,19094
689,8636,14831
690,7077,16313
691,13340,13780
692,8724,8547
693,11632,8488
694,13682,8989
695,9711,11398
696,11746,18949
697,6659,8474
698,6248,10597
699,10221,13564
700,10392,17538
701,11733,10049
702,7597,10713
703,11421,17012
704,13390,9139
705,9932,10397
706,9991,18444
707,6604,10059
708,7450,8187
709,5161,15862
710,9922,11768
711,11792,15842
712,10130,11222
713,5261,15707
714,10406,9080
715,12237,13039
716,6394,8480
717,13948,11840
718,6551,19360
719,10759,16617
720,12346,15228
721,12051,15599
722,6100,17389
723,11471,10799
724,14151,16837
725,14128,11284
726,13534,8034
727,6143,17925
728,12088,17743
729,5555,11398
730,7725,11868
731,6789,16654
732,7294,15671
733,6894,17851
734,7520,18187
735,9160,16794
736,6495,17176
737,12182,19375
738,6779,9898
739,13483,19460
740,13999,8107
741,14085,15873
742,6579,16417
743,8934,12980
744,10833,15623
745,13248,17689
746,9216,18791
747,9614,8648
748,9844,13702
749,13476,17380
750,11335,10132
751,7471,14760
752,5495,15321
753,10908,12588
754,10245,14768
755,6520,17933
756,5235,12053
757,9109,11443
758,8580,19595
759,6703,13528
760,11824,9868
761,13732,16055
762,5514,18421
763,11577,17699
764,9926,13116
765,12239,13891
766,13954,19150
767,8480,18438
768,7291,9025
769,7960,17215
770,12571,13766
771,8632,18922
772,6134,9728
773,11262,9957
774,12205,11114
775,7927,13336
776,13995,19287
777,11529,14824
778,13273,16590
779,8342,14591
780,6828,9592
781,7718,17611
782,13554,13585
783,5187,15464
784,7876,16505
785,8207,15995
786,10904,17541
787,7138,18551
788,5988,11724
789,6476,8962
790,14155,8676
791,11848,19522
792,8332,17901
793,8911,15802
794,9214,15739
795,11257,14993
796,11539,11309
797,5168,19185
798,13310,19570
799,13383,10042
800,8207,14394
801,8637,17350
802,9345,17822
803,9151,12428
804,5061,9960
805,5400,17146
806,7913,11426
807,9192,15443
808,6076,19396
809,6605,19990
810,11446,10949
811,7003,10791
812,13989,14475
813,7043,8784
814,5573,9677
815,9459,18626
816,14078,15833
817,11195,19113
818,12140,15104
819,14023,13964
820,12309,17825
821,13299,12284
822,11625,12957
823,6171,8428
824,12441,19848
825,9253,8162
826,10821,10797
827,11548,12164
828,10772,16157
829,8047,16512
830,6409,11401
831,6609,19908
832,8070,15368
833,10449,18758
834,10235,19676
835,6233,11433
836,6419,16674
837,9000,8541
838,11877,14996
839,11409,15469
840,5965,11135
841,5321,14337
842,7792,12487
843,9091,10644
844,5097,18026
845,6295,17634
846,6533,8960
847,8201,16523
848,12061,13027
849,12146,12036
850,5319,13611
851,13111,17903
852,11964,16107
853,9862,10741
854,12073,12920
855,8892,18030
856,9242,19434
857,5271,8367
858,5531,16330
859,8314,17811
860,8978,14493
861,13075,15954
862,7357,11719
863,7061,9614
864,5856,17241
865,5441,16474
866,12274,14143
867,12807,10539
868,10616,11369
869,9008,11113
870,13738,10722
871,9810,11221
872,7314,8490
873,8208,16103
874,9880,18167
875,10173,18286
876,12722,17083
877,10908,9016
878,10082,8142
879,11650,14081
880,9260,14484
881,14021,10446
882,13863,12502
883,9066,14636
884,10762,10620
885,8101,16739
886,6852,12327
887,13188,12479
888,13797,17217
889,9673,11873
890,11685,15102
891,8852,17038
892,12577,19062
893,5741,13715
894,11808,16167
895,8753,8525
896,13558,13251
897,5302,12192
898,5220,8802
899,10500,18603
900,10877,15806
901,11114,11962
902,11889,14545
903,9785,15312
904,9683,8880
905,10667,11346
906,8339,12231
907,9223,19358
908,6314,9147
909,14161,8138
910,6895,15592
911,9814,13920
912,8928,12140
913,10806,18740
914,10133,10748
915,8322,9267
916,12301,16786
917,11991,8488
918,5844,11962
919,7293,12398
920,6283,17882
921,9276,15330
922,8400,11384
923,5106,13980
924,5205,19542
925,5935,18089
926,9075,11020
927,6280,9822
928,8222,16678
929,13543,15594
930,13527,8596
931,5406,10482
932,5712,17694
933,8555,12835
934,6923,13731
935,7295,17118
936,13703,10536
937,11919,8792
938,13109,19370
939,5737,13323
940,8296,13407
941,5573,14737
942,12440,13624
943,13477,19185
944,14052,8226
945,5255,9401
946,13057,9206
947,6224,10640
948,10558,12890
949,10332,16666
950,12146,15856
951,13546,16651
952,7597,9668
953,5439,14991
954,12800,16556
955,10129,15562
956,11661,11664
957,6762,10751
958,14116,11301
959,11653,17948
960,14027,10587
961,7672,19724
962,10170,19639
963,7262,10416
964,6004,10005
965,9185,8029
966,13258,8351
967,8856,18188
968,5878,9345
969,5953,11816
970,6598,9473
971,7926,15302
972,8861,8909
973,12965,10859
974,10165,17115
975,5597,13797
976,10833,15320
977,6291,19790
978,8908,9990
979,9232,19839
980,11331,10672
981,8681,13989
982,12162,13567
983,9510,17632
984,9661,14916
985,13854,10421
986,11615,11939
987,5804,16259
988,5955,15015
989,10331,11244
990,7178,12579
991,10133,16494
992,11888,16435
993,14022,9015
994,6953,12328
995,13602,17767
996,11904,17392
997,7849,9060
998,14133,19468
999,6050,10978
1000,13362,19356
